full_name,neo,pha,sats,H,G,diameter,extent,albedo,rot_per,GM,BV,UB,spec_B,spec_T,orbit_id,epoch,equinox,e,a,q,i,om,w,ma,ad,n,tp,per_y,moid,moid_jup,t_jup,class,producer,data_arc,first_obs,last_obs,n_obs_used,condition_code,rms
441304 (2008 AU26),Y,N,0,20.97,,,,,,,,,,,JPL 40,2460000.5,J2000,0.1024,1.395,1.252,2.66,299.5,128.67,108.34,1.54,0.5982,2459819.39,1.65,0.268,3.61,4.76,AMO,Otto Matic,4705,30/12/07,16/11/20,153,0,0.61838
441641 (2008 WZ13),Y,Y,0,18.62,,,,,,,,,,,JPL 70,2460000.5,J2000,0.5626,1.995,0.873,8.2,51.73,133.94,315.85,3.12,0.3497,2460126.75,2.82,0.013,1.86,3.62,APO,Otto Matic,5147,20/11/08,24/12/22,376,0,0.35712
441823 (2009 QO5),Y,N,0,22.17,,,,,,,,,,,JPL 38,2460000.5,J2000,0.2382,1.596,1.216,8.55,145.77,188.83,254.96,1.98,0.4889,2460215.33,2.02,0.205,3.38,4.32,AMO,Otto Matic,4344,18/08/09,10/07/21,92,0,0.62083
441825 (2009 SK1),Y,N,0,18.39,,,,,5.829,,,,,,JPL 239,2460000.5,J2000,0.2227,1.611,1.252,30.82,184.38,104.47,273.82,1.97,0.4819,2460179.31,2.05,0.405,3.4,4.16,AMO,Otto Matic,4945,17/09/09,02/04/23,1060,0,0.44762
441952 (2010 LR68),Y,N,0,18.39,,2.246,,0.017,,,,,,,JPL 91,2460000.5,J2000,0.5871,3.096,1.278,4.71,109.05,299.72,107.68,4.91,0.1809,2459405.26,5.45,0.298,0.568,2.92,AMO,Otto Matic,5877,02/02/06,07/03/22,411,0,0.41777
441987 (2010 NY65),Y,Y,0,21.35,,0.228,,0.071,4.9706,,,,,,JPL 175,2460000.5,J2000,0.3703,1.003,0.632,11.55,267.94,251.99,307.21,1.37,0.981,2460054.32,1,0.0179,3.65,5.99,APO,Otto Matic,4391,14/07/10,22/07/22,963,0,0.31727
442037 (2010 PR66),Y,Y,0,19.27,,0.695,,0.063,2.0734,,,,,,JPL 103,2460000.5,J2000,0.6866,2.928,0.917,17.58,292.76,319.49,192.13,4.94,0.1968,2460853.66,5.01,0.000302,0.838,2.82,APO,Otto Matic,3786,18/04/10,29/08/20,616,0,0.36361
442177 (2010 XC24),Y,N,0,19.93,,,,,,,,,,,JPL 34,2460000.5,J2000,0.0633,1.2,1.124,38.95,269.39,298.35,351.16,1.28,0.7497,2460012.29,1.31,0.143,3.84,5.08,AMO,Otto Matic,3226,07/12/10,07/10/19,154,0,0.69611
442243 (2011 MD11),Y,N,0,18.06,,,,,2.43,,,,,,JPL 149,2460000.5,J2000,0.4964,2.502,1.26,16.16,15.89,333.24,317.79,3.74,0.2491,2460169.99,3.96,0.277,1.76,3.24,AMO,Otto Matic,3137,26/06/11,27/01/20,1027,0,0.30839
442523 (2011 WU95),Y,Y,0,19.51,,,,,,,,,,,JPL 83,2460000.5,J2000,0.4247,1.667,0.959,6.72,67.68,242.4,160.66,2.37,0.4581,2459649.8,2.15,0.0473,2.93,4.14,APO,Otto Matic,3357,30/11/11,07/02/21,359,0,0.46577
442559 (2012 AU10),Y,N,0,18.22,,,,,10.45,,,,,,JPL 76,2460000.5,J2000,0.3156,1.658,1.135,39.12,125.22,307.45,114.78,2.18,0.4617,2459751.88,2.13,0.253,3.2,3.97,AMO,Otto Matic,3518,11/01/12,29/08/21,300,0,0.39802
442605 (2012 HY33),Y,N,0,19.29,,0.44,,0.209,,,,,,,JPL 40,2460000.5,J2000,0.5435,1.998,0.912,14.7,63.58,270.83,249.43,3.08,0.349,2460317.35,2.82,0.164,2.5,3.61,APO,Otto Matic,5112,15/12/01,14/12/15,136,0,0.71012
442609 (2012 KU42),Y,N,0,17.63,,,,,,,,,,,JPL 52,2460000.5,J2000,0.5149,2.2,1.067,18.98,136.19,207.81,85.12,3.33,0.302,2459718.59,3.26,0.0878,2.14,3.42,AMO,Otto Matic,6471,09/05/05,26/01/23,206,0,0.43802
442742 (2012 WP3),Y,N,0,17.77,,2.003,,0.04,221,,,,,,JPL 177,2460000.5,J2000,0.3841,2.101,1.294,22.57,227.16,141.7,164.41,2.91,0.3238,2459492.67,3.04,0.348,2.7,3.56,AMO,Otto Matic,4330,22/03/10,28/01/22,1109,0,0.36005
